Eleccion,,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adolfo alsina,0001,2,82.0,1798.0,698.0,2997.0,8376.0,6714.0,900.0,0.009789875835721109,0.21466093600764088,0.08333333333333333,0.3578080229226361,1.0,0.8015759312320917,0.10744985673352435,709.0,3713.0,9322.0,158.0,466.0,1546.0,7181.0,517.0,0.07605664020596438,0.3983050847457627,1.0,0.01694915254237288,0.04998927268826432,0.16584423943359794,0.7703282557391118,0.05546020167346063,717.0,3174.0,8986.0,78.0,511.0,1451.0,6746.0,520.0,0.07979078566659248,0.35321611395504116,1.0,0.008680169152014245,0.056866236367683065,0.16147340307144448,0.7507233474293346,0.05786779434676163
adolfo alsina,0002,2,1.0,6.0,11.0,28.0,89.0,56.0,7.0,0.011235955056179775,0.06741573033707865,0.12359550561797752,0.3146067415730337,1.0,0.6292134831460674,0.07865168539325842,3.0,23.0,55.0,0.0,2.0,2.0,30.0,0.0,0.05454545454545454,0.41818181818181815,1.0,0.0,0.03636363636363636,0.03636363636363636,0.5454545454545454,0.0,3.0,19.0,55.0,1.0,2.0,2.0,28.0,1.0,0.05454545454545454,0.34545454545454546,1.0,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.509090909090909,0.01818181818181818
adolfo alsina,0003,2,30.0,598.0,314.0,971.0,2772.0,2225.0,261.0,0.010822510822510822,0.21572871572871574,0.11327561327561328,0.3502886002886003,1.0,0.8026695526695526,0.09415584415584416,268.0,1443.0,3112.0,46.0,106.0,516.0,2477.0,89.0,0.08611825192802057,0.46368894601542415,1.0,0.014781491002570694,0.03406169665809768,0.16580976863753213,0.7959511568123393,0.02859897172236504,312.0,1210.0,3114.0,30.0,163.0,486.0,2145.0,142.0,0.1001926782273603,0.38856775850995506,1.0,0.009633911368015413,0.052344251766217084,0.15606936416184972,0.6888246628131022,0.045600513808606295
adolfo alsina,0004,2,0.0,6.0,4.0,16.0,54.0,28.0,2.0,0.0,0.1111111111111111,0.07407407407407407,0.2962962962962963,1.0,0.5185185185185185,0.037037037037037035,6.0,12.0,41.0,0.0,0.0,0.0,18.0,0.0,0.14634146341463414,0.2926829268292683,1.0,0.0,0.0,0.0,0.43902439024390244,0.0,5.0,12.0,41.0,0.0,0.0,0.0,18.0,1.0,0.12195121951219512,0.2926829268292683,1.0,0.0,0.0,0.0,0.43902439024390244,0.024390243902439025
adolfo alsina,0005,2,7.0,171.0,83.0,623.0,1194.0,969.0,68.0,0.005862646566164154,0.14321608040201006,0.0695142378559464,0.5217755443886097,1.0,0.8115577889447236,0.05695142378559464,66.0,606.0,1126.0,8.0,22.0,113.0,843.0,28.0,0.0586145648312611,0.5381882770870338,1.0,0.007104795737122558,0.019538188277087035,0.10035523978685613,0.7486678507992895,0.02486678507992895,82.0,532.0,1128.0,5.0,22.0,87.0,848.0,60.0,0.0726950354609929,0.4716312056737589,1.0,0.004432624113475178,0.01950354609929078,0.07712765957446809,0.75177304964539,0.05319148936170213
adolfo alsina,0006,2,1.0,10.0,7.0,49.0,88.0,74.0,3.0,0.011363636363636364,0.11363636363636363,0.07954545454545454,0.5568181818181818,1.0,0.8409090909090909,0.03409090909090909,17.0,34.0,82.0,3.0,1.0,10.0,68.0,3.0,0.2073170731707317,0.4146341463414634,1.0,0.036585365853658534,0.012195121951219513,0.12195121951219512,0.8292682926829268,0.036585365853658534,18.0,27.0,84.0,1.0,0.0,11.0,62.0,2.0,0.21428571428571427,0.32142857142857145,1.0,0.011904761904761904,0.0,0.13095238095238096,0.7380952380952381,0.023809523809523808
adolfo alsina,0007,2,7.0,99.0,39.0,273.0,616.0,477.0,50.0,0.011363636363636364,0.16071428571428573,0.0633116883116883,0.4431818181818182,1.0,0.7743506493506493,0.08116883116883117,66.0,218.0,576.0,10.0,19.0,92.0,430.0,24.0,0.11458333333333333,0.3784722222222222,1.0,0.017361111111111112,0.03298611111111111,0.1597222222222222,0.7465277777777778,0.041666666666666664,71.0,190.0,577.0,8.0,21.0,74.0,406.0,30.0,0.12305025996533796,0.3292894280762565,1.0,0.01386481802426343,0.036395147313691506,0.12824956672443674,0.7036395147313691,0.05199306759098787
