Codigo Partido;Denominacion;Lista Interna;Agrupación
0003;UNION CIVICA RADICAL                                                                                ;                                                                                                    ;0003
0012;COMUNISTA                                                                                           ;                                                                                                    ;0012
0013;MOVIMIENTO AL SOCIALISMO                                                                            ;                                                                                                    ;0013
0023;UNION POPULAR                                                                                       ;                                                                                                    ;0023
0038;MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       ;                                                                                                    ;0038
0050;SOCIALISTA                                                                                          ;                                                                                                    ;0050
0057;MOVIMIENTO DE ACCION VECINAL                                                                        ;                                                                                                    ;0057
0063;ES POSIBLE                                                                                          ;                                                                                                    ;0063
0064;PROPUESTA REPUBLICANA                                                                               ;                                                                                                    ;0064
0068;NUEVA IZQUIERDA                                                                                     ;                                                                                                    ;0068
0071;DEL OBRERO                                                                                          ;                                                                                                    ;0071
0072;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;                                                                                                    ;0072
0075;PARTIDO DE LA CONCERTACION FORJA                                                                    ;                                                                                                    ;0075
0076;DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ;                                                                                                    ;0076
0103;FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              ;                                                                                                    ;0103
0131;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;                                                                                                    ;0131
0132;ALIANZA PROGRESISTAS                                                                                ;                                                                                                    ;0132
0133;ALIANZA COMPROMISO FEDERAL                                                                          ;                                                                                                    ;0133
0135;ALIANZA CAMBIEMOS                                                                                   ;                                                                                                    ;0135
0136;ALIANZA FRENTE POPULAR                                                                              ;                                                                                                    ;0136
0137;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ;                                                                                                    ;0137
0138;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ;                                                                                                    ;0138
0145;CAMBIEMOS BUENOS AIRES                                                                              ;                                                                                                    ;0145
0151;MOVIMIENTO POPULAR NEUQUINO                                                                         ;                                                                                                    ;0151
0152;MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ;                                                                                                    ;0152
0153;CRUZADA RENOVADORA                                                                                  ;                                                                                                    ;0153
0154;MOVIMIENTO POPULAR FUEGUINO                                                                         ;                                                                                                    ;0154
0155;MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ;                                                                                                    ;0155
0161;OBRERO                                                                                              ;                                                                                                    ;0161
0165;NUEVO OCTUBRE                                                                                       ;                                                                                                    ;0165
0169;PROYECTO POPULAR                                                                                    ;                                                                                                    ;0169
0177;PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       ;                                                                                                    ;0177
0179;FRENTE CAMBIA JUJUY                                                                                 ;                                                                                                    ;0179
0186;AUTODETERMINACION Y LIBERTAD                                                                        ;                                                                                                    ;0186
0187;SOCIAL PATAGONICO                                                                                   ;                                                                                                    ;0187
0189;PARTIDO CIUDADANOS A GOBERNAR                                                                       ;                                                                                                    ;0189
0192;LIBERTAD Y DEMOCRACIA RESPONSABLE                                                                   ;                                                                                                    ;0192
0194;MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS                                                      ;                                                                                                    ;0194
0251;MOVIMIENTO COMUNITARIO PLURICULTURAL                                                                ;                                                                                                    ;0251
0298;TODOS POR BUENOS AIRES                                                                              ;                                                                                                    ;0298
0301;PATRIA GRANDE                                                                                       ;                                                                                                    ;0301
0402;PARTIDO PRIMERO JUJUY                                                                               ;                                                                                                    ;0402
0406;PARTIDO POR LA DIGNIDAD DEL PUEBLO                                                                  ;                                                                                                    ;0406
0484;NUEVA ALTERNATIVA CARMEÑA                                                                           ;                                                                                                    ;0484
0501;ALIANZA FRENTE PARA LA VICTORIA                                                                     ;                                                                                                    ;0501
0502;ALIANZA CAMBIEMOS                                                                                   ;                                                                                                    ;0502
0506;ALIANZA PROGRESISTAS                                                                                ;                                                                                                    ;0506
0507;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            ;                                                                                                    ;0507
0508;FRENTE UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPULAR                                                ;                                                                                                    ;0508
0518;ALIANZA COMPROMISO CON SAN JUAN                                                                     ;                                                                                                    ;0518
0519;ALIANZA ENCUENTRO POR CORRIENTES                                                                    ;                                                                                                    ;0519
0520;ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     ;                                                                                                    ;0520
0522;ALIANZA FRENTE CAMBIEMOS                                                                            ;                                                                                                    ;0522
0524;ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ;                                                                                                    ;0524
0525;ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL                                                          ;                                                                                                    ;0525
0526;ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ;                                                                                                    ;0526
0528;ALIANZA FRENTE TERCERA POSICION                                                                     ;                                                                                                    ;0528
0529;ALIANZA FRENTE UNIDOS                                                                               ;                                                                                                    ;0529
0530;ALIANZA CAMBIEMOS CHUBUT                                                                            ;                                                                                                    ;0530
0531;ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ;                                                                                                    ;0531
0612;NUEVO ZARATE                                                                                        ;                                                                                                    ;0612
0616;MOVIMIENTO GENERACIONAL                                                                             ;                                                                                                    ;0616
0625;MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA                                                               ;                                                                                                    ;0625
0641;MOVIPRO                                                                                             ;                                                                                                    ;0641
0647;PROCLAME                                                                                            ;                                                                                                    ;0647
0664;COMPROMISO PRINGLES                                                                                 ;                                                                                                    ;0664
0665;PARTIDO UNION VECINAL PROV.                                                                         ;                                                                                                    ;0665
0667;INTEGRACION VECINALISTA ROSALEÑA                                                                    ;                                                                                                    ;0667
0670;C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE                                                               ;                                                                                                    ;0670
0672;UNION VECINAL DE ADOLFO GONZALES CHAVES                                                             ;                                                                                                    ;0672
0673;CONSTRUCCION SOCIAL PARTICIPATIVA                                                                   ;                                                                                                    ;0673
0697;ACCION POR VILLARINO                                                                                ;                                                                                                    ;0697
0701;UNION PARA VIVIR MEJOR                                                                              ;                                                                                                    ;0701
0702;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;                                                                                                    ;0702
0703;ENCUENTRO POR ROJAS                                                                                 ;                                                                                                    ;0703
0705;CON VOCACION POR SAN ISIDRO                                                                         ;                                                                                                    ;0705
0734;VIENTOS DEL SUR-VISUR                                                                               ;                                                                                                    ;0734
0737;PROPUESTA PINAMAR-PROPIN                                                                            ;                                                                                                    ;0737
0739;JUNTOS POR DORREGO                                                                                  ;                                                                                                    ;0739
0758;UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 ;                                                                                                    ;0758
0768;CAUSA POPULAR BRANDSEN                                                                              ;                                                                                                    ;0768
0774;VECINOS EN ACCION PINAMAR-VENAP                                                                     ;                                                                                                    ;0774
0787;SOMOS RODRIGUEZ                                                                                     ;                                                                                                    ;0787
0789;ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 ;                                                                                                    ;0789
0792;UNION VECINAL SALLIQUELO                                                                            ;                                                                                                    ;0792
0794;VAMOS                                                                                               ;                                                                                                    ;0794
0803;FRENTE MXC MERC Y SANLUISEÑOS                                                                       ;                                                                                                    ;0803
0821;JUNTOS POR SAN JUAN                                                                                 ;                                                                                                    ;0821
