Código Partido;Denominacion;Lista Interna;Agrupación
0002;JUSTICIALISTA                                                                                       ;                                                                                                    ;0002
0006;INTRANSIGENTE                                                                                       ;                                                                                                    ;0006
0008;PARTIDO FEDERAL                                                                                     ;                                                                                                    ;0008
0022;HUMANISTA                                                                                           ;                                                                                                    ;0022
0023;UNION POPULAR                                                                                       ;                                                                                                    ;0023
0033;NACIONALISTA CONSTITUCIONAL -  UNIR                                                                 ;                                                                                                    ;0033
0038;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;                                                                                                    ;0038
0040;MOVIMIENTO LIBRES DEL SUR                                                                           ;                                                                                                    ;0040
0047;COALICION CIVICA - ARI                                                                              ;                                                                                                    ;0047
0050;SOCIALISTA                                                                                          ;                                                                                                    ;0050
0061;IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ;                                                                                                    ;0061
0070;DE TRABAJADORES POR EL SOCIALISMO                                                                   ;                                                                                                    ;0070
0071;DEL OBRERO                                                                                          ;                                                                                                    ;0071
0072;INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ;                                                                                                    ;0072
0074;DEL TRABAJO Y DEL PUEBLO                                                                            ;                                                                                                    ;0074
0082;COMPROMISO FEDERAL                                                                                  ;                                                                                                    ;0082
0083;MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR                                                 ;                                                                                                    ;0083
0110;DEFENSA COMUNAL DE E.DE LA CRUZ                                                                     ;                                                                                                    ;0110
0151;MOVIMIENTO POPULAR NEUQUINO                                                                         ;                                                                                                    ;0151
0153;SOCIALISTA AUTENTICO DEL CHUBUT                                                                     ;                                                                                                    ;0153
0159;MOVIMIENTO NORTE GRANDE                                                                             ;                                                                                                    ;0159
0165;NUEVO OCTUBRE                                                                                       ;                                                                                                    ;0165
0167;FEDERAL FUEGUINO                                                                                    ;                                                                                                    ;0167
0172;NUEVA DIRIGENCIA                                                                                    ;                                                                                                    ;0172
0174;POPULAR                                                                                             ;                                                                                                    ;0174
0176;FRENTE RENOVADOR AUTENTICO                                                                          ;                                                                                                    ;0176
0180;FUERZA REPUBLICANA                                                                                  ;                                                                                                    ;0180
0182;ADN - ACCION POR UNA DEMOCRACIA NUEVA                                                               ;                                                                                                    ;0182
