DPTO_REF_ID;PROV_REF_ID;IDDPTO;DPTO;NOMDPTO
1;1;1;2001;Comuna 01
2;1;2;2002;Comuna 02
3;1;3;2003;Comuna 03
4;1;4;2004;Comuna 04
5;1;5;2005;Comuna 05
6;1;6;2006;Comuna 06
7;1;7;2007;Comuna 07
8;1;8;2008;Comuna 08
9;1;9;2009;Comuna 09
10;1;10;2010;Comuna 10
11;1;11;2011;Comuna 11
12;1;12;2012;Comuna 12
13;1;13;2013;Comuna 13
14;1;14;2014;Comuna 14
15;1;15;2015;Comuna 15
16;2;28;6028;Almirante Brown
17;2;35;6035;Avellaneda
18;2;91;6091;Berazategui
19;2;260;6260;Esteban Echeverría
20;2;270;6270;Ezeiza
21;2;274;6274;Florencio Varela
22;2;371;6371;General San Martín
23;2;408;6408;Hurlingham
24;2;410;6410;Ituzaingó
25;2;412;6412;José C. Paz
26;2;427;6427;La Matanza
27;2;434;6434;Lanús
28;2;490;6490;Lomas de Zamora
29;2;515;6515;Malvinas Argentinas
30;2;539;6539;Merlo
31;2;560;6560;Moreno
32;2;568;6568;Morón
33;2;658;6658;Quilmes
34;2;749;6749;San Fernando
35;2;756;6756;San Isidro
36;2;760;6760;San Miguel
37;2;805;6805;Tigre
38;2;840;6840;Tres de Febrero
39;2;861;6861;Vicente López
40;2;7;6007;Adolfo Alsina
41;2;14;6014;Adolfo Gonzáles Chaves
42;2;21;6021;Alberti
43;2;42;6042;Ayacucho
44;2;49;6049;Azul
45;2;56;6056;Bahía Blanca
46;2;63;6063;Balcarce
47;2;70;6070;Baradero
48;2;77;6077;Bartolomé Mitre
49;2;84;6084;Benito Juárez
50;2;98;6098;Berisso
51;2;105;6105;Bolívar
52;2;112;6112;Bragado
53;2;119;6119;Brandsen
54;2;126;6126;Campana
55;2;134;6134;Cañuelas
56;2;140;6140;Capitán Sarmiento
57;2;147;6147;Carlos Casares
58;2;154;6154;Carlos Tejedor
59;2;161;6161;Carmen de Areco
60;2;168;6168;Castelli
61;2;175;6175;Colón
62;2;182;6182;Coronel de Marina L. Rosales
63;2;189;6189;Coronel Dorrego
