CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
03;001;0001 ;0001; ;9001;343
03;001;0001 ;0001; ;9002;000
03;001;0001 ;0001; ;9003;000
03;001;0001 ;0001; ;9004;068
03;001;0001 ;0001; ;9005;003
03;001;0001 ;0001; ;9006;000
03;001;0001 ;0001; ;3234;025
03;001;0001 ;0001; ;3333;001
03;001;0001 ;0001; ;3221;010
03;001;0001 ;0001; ;3218;062
03;001;0001 ;0001; ;3219;038
03;001;0001 ;0001; ;3111;002
03;001;0001 ;0001; ;3112;004
03;001;0001 ;0001; ;3100;009
03;001;0001 ;0001; ;3332;000
03;001;0001 ;0001; ;3334;001
03;001;0001 ;0002; ;9001;343
03;001;0001 ;0002; ;9002;209
03;001;0001 ;0002; ;9003;000
03;001;0001 ;0002; ;9004;010
03;001;0001 ;0002; ;9005;001
03;001;0001 ;0002; ;9006;000
03;001;0001 ;0002; ;3234;046
03;001;0001 ;0002; ;3333;001
03;001;0001 ;0002; ;3221;006
03;001;0001 ;0002; ;3218;085
03;001;0001 ;0002; ;3219;036
03;001;0001 ;0002; ;3111;002
03;001;0001 ;0002; ;3112;001
03;001;0001 ;0002; ;3100;012
03;001;0001 ;0002; ;3332;001
03;001;0001 ;0002; ;3334;008
03;001;0001 ;0004; ;9001;342
03;001;0001 ;0004; ;9002;242
03;001;0001 ;0004; ;9003;000
03;001;0001 ;0004; ;9004;012
03;001;0001 ;0004; ;9005;004
03;001;0001 ;0004; ;9006;000
03;001;0001 ;0004; ;3234;063
03;001;0001 ;0004; ;3333;004
03;001;0001 ;0004; ;3221;012
03;001;0001 ;0004; ;3218;069
03;001;0001 ;0004; ;3219;050
03;001;0001 ;0004; ;3111;000
03;001;0001 ;0004; ;3112;004
03;001;0001 ;0004; ;3100;013
03;001;0001 ;0004; ;3332;003
03;001;0001 ;0004; ;3334;007
03;001;0001 ;0005; ;9001;342
03;001;0001 ;0005; ;9002;205
03;001;0001 ;0005; ;9003;000
03;001;0001 ;0005; ;9004;015
03;001;0001 ;0005; ;9005;001
03;001;0001 ;0005; ;9006;001
03;001;0001 ;0005; ;3234;063
03;001;0001 ;0005; ;3333;002
03;001;0001 ;0005; ;3221;011
03;001;0001 ;0005; ;3218;058
03;001;0001 ;0005; ;3219;039
03;001;0001 ;0005; ;3111;000
03;001;0001 ;0005; ;3112;000
03;001;0001 ;0005; ;3100;008
03;001;0001 ;0005; ;3332;001
03;001;0001 ;0005; ;3334;006
03;001;0001 ;0006; ;9001;340
03;001;0001 ;0006; ;9002;222
