,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
lomas de zamora,0583,2,169408,168438,206753,128955,113817,146146,20154,20376,30975,75191,60120,79523,22142,13950,11433,11271,10765,5049,5528,6951,3822,6156,4764
merlo,0652A,2,124717,133454,139025,99983,97533,106765,16500,18555,26215,48031,47615,54533,22831,15267,11849,8624,4826,3203,5266,5662,3651,5980,3988
general pueyrredon,0364,2,131245,130613,135506,96119,88235,97139,31925,33111,42261,30847,23611,29383,17840,12547,10738,9377,6450,3834,4746,4541,3081,5178,3464
general pueyrredon,0365,2,116626,118106,119503,85912,80400,85772,27464,28953,36660,29359,22849,27866,15730,11245,9344,8890,6185,3565,4379,4321,2777,4782,2982
florencio varela,0302,2,105141,111845,117519,77521,79155,85593,18141,21999,27853,32231,32192,35716,16196,9260,7384,5526,3513,2818,4032,4363,2842,4622,3632
la matanza,0635B,2,107608,98445,103042,83050,78758,84504,13063,13430,18178,43154,41822,47768,14786,9124,7049,6036,3174,2198,4141,4455,3124,4441,3511
moron,0665,2,101912,102118,104918,79629,74076,79238,24258,25336,32114,26227,24213,27820,16472,11683,8676,4483,1989,1437,4329,3811,3472,5230,3950
tandil,0933,2,97487,101375,104120,76944,74106,79939,30902,33613,41196,21053,18071,19975,11776,10768,8768,7723,3226,3512,3293,2742,1833,2847,2856
la matanza,0635,2,102642,104524,115904,72145,69141,81018,9052,9736,14361,39909,35985,44653,12293,7455,6002,6216,3341,2065,3716,3925,2296,3688,2789
la matanza,0635A,2,85205,101574,104593,68580,71747,75685,10280,11043,14856,39095,37482,42574,12048,7650,5439,5974,3039,1887,3757,3695,2240,3318,2661
lomas de zamora,0587,2,84770,93332,94739,66756,65388,71073,18815,19218,24905,28155,25354,29402,11626,9061,6467,4228,3747,1589,3045,3182,2537,3853,3204
almirante brown,0019,2,84327,93277,96646,62828,62566,70248,15423,15768,21358,26412,26087,30495,13075,9880,7201,4826,2757,1974,4270,4232,3018,4533,3477
general pueyrredon,0366,2,85036,87768,88460,60582,58251,61737,34103,35350,41105,11603,9000,10420,7634,5901,4466,2887,1958,1123,1968,1873,1780,3223,2406
tres de febrero,0391,2,87484,82025,82800,63399,60295,61354,22646,23320,28111,17735,15599,17845,13559,9418,7051,2847,1691,1209,3976,3166,2761,3963,3163
moreno,0663C,2,76022,79422,83961,59357,55070,63884,8561,10331,15742,28845,25046,30870,14067,9072,7521,6458,4196,3065,4359,3913,1941,3267,2231
jose c. paz,0398,2,77360,77882,83817,56707,51128,58784,12274,13678,18518,22689,19701,24657,12906,7681,5834,4909,2608,1976,2272,2612,2103,3207,2573
jose c. paz,0398A,2,68953,73084,75172,55684,54558,58686,8049,9085,12622,29371,28441,32872,11031,7135,5223,6132,3981,2587,2358,2549,1783,2583,1823
general rodriguez,0374,2,65875,73074,75289,52997,53225,57042,15499,15301,20489,18022,17185,21088,11023,8841,6300,5691,3892,2609,2735,2628,1299,2251,1456
junin,0444,2,70635,71489,71830,53732,51617,53840,20552,22601,27891,14651,12212,14626,12089,8095,5973,5833,2882,2144,2974,2377,1198,1977,1473
pilar,0768,2,68165,71091,77402,55119,49122,57569,19646,16864,24321,17439,15263,17791,8756,6647,5424,5357,2747,2308,2543,2317,1485,2524,1849
avellaneda,0040,2,68924,70598,70575,53204,52041,53401,18665,18693,22551,17554,16830,19010,9756,7915,5297,2468,1393,1032,2205,2142,2243,3254,2820
