,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
adolfo alsina,0001,2,124.75,133.20000000000002,129.81,100.0,100.0,100.0,44.64,47.05,51.71,26.779999999999998,21.51,21.529999999999998,10.4,10.63,9.87,13.4,7.71,7.199999999999999,7.57,6.49,1.16,2.1999999999999997,1.22
adolfo alsina,0002,2,158.93,196.43,183.32999999999998,100.0,100.0,100.0,50.0,67.86,76.67,10.71,7.140000000000001,6.67,19.64,10.71,10.0,12.5,3.5700000000000003,0.0,7.140000000000001,6.67,3.5700000000000003,0.0,1.79
adolfo alsina,0003,2,124.58,145.17,125.64,100.0,100.0,100.0,43.64,56.410000000000004,58.26,26.88,22.66,20.830000000000002,14.11,14.549999999999999,10.82,11.73,6.619999999999999,3.5900000000000003,7.6,4.279999999999999,1.4000000000000001,1.8599999999999999,1.35
adolfo alsina,0004,2,192.86,227.78,227.78,100.0,100.0,100.0,57.14,66.67,66.67,21.43,0.0,0.0,14.29,27.779999999999998,33.33,7.140000000000001,5.56,0.0,0.0,0.0,0.0,0.0,0.0
adolfo alsina,0005,2,123.22,133.02,133.57000000000002,100.0,100.0,100.0,64.29,62.739999999999995,71.89,17.65,10.26,13.4,8.57,9.67,7.829999999999999,7.02,7.08,3.32,2.59,2.6100000000000003,0.59,0.95,0.72
adolfo alsina,0006,2,118.92,135.48,120.59,100.0,100.0,100.0,66.22,43.55,50.0,13.51,17.740000000000002,14.71,9.46,29.03,25.0,4.05,3.2300000000000004,4.41,0.0,1.47,1.6099999999999999,4.41,1.35
adolfo alsina,0007,2,129.14000000000001,142.12,133.95,100.0,100.0,100.0,57.230000000000004,46.800000000000004,50.7,20.75,18.23,21.4,8.18,17.49,15.35,10.48,7.39,5.58,5.17,4.42,1.97,2.33,1.47
adolfo gonzales chaves,0424,2,118.6,143.74,131.22,100.0,100.0,100.0,26.58,33.33,40.160000000000004,37.07,27.43,30.65,11.709999999999999,15.160000000000002,10.100000000000001,18.58,20.09,15.61,2.98,3.19,1.7399999999999998,2.76,1.55
adolfo gonzales chaves,0427,2,114.75,163.17,121.34,100.0,100.0,100.0,23.48,39.67,38.6,39.81,38.1,32.34,12.43,20.27,12.67,20.77,19.59,12.379999999999999,3.1300000000000003,1.97,0.69,1.82,1.6500000000000001
adolfo gonzales chaves,0428,2,111.3,129.38,113.74,100.0,100.0,100.0,12.43,17.5,21.43,51.980000000000004,33.75,32.42,5.08,13.750000000000002,10.99,28.249999999999996,28.749999999999996,28.57,0.0,0.5499999999999999,0.62,0.5499999999999999,1.13
alberti,0010,2,123.0,126.28999999999999,121.21,100.0,100.0,100.0,42.44,42.91,48.3,35.64,12.58,11.98,9.92,8.16,5.26,13.33,7.99,6.61,25.09,25.66,0.98,1.58,1.49
alberti,0011,2,111.42,118.41999999999999,114.29,100.0,100.0,100.0,22.84,5.53,20.919999999999998,58.120000000000005,25.790000000000003,24.23,9.139999999999999,4.74,3.83,8.38,2.63,2.55,10.79,47.19,1.32,1.28,0.76
alberti,0012,2,119.34,130.32,inf,100.0,100.0,,32.48,34.839999999999996,inf,44.16,22.62,inf,7.66,7.6899999999999995,inf,13.87,6.79,inf,24.89,inf,0.8999999999999999,inf,1.46
alberti,0013,2,112.96,125.0,118.12,100.0,100.0,100.0,56.79,56.58,66.88,25.31,3.95,5.0,12.959999999999999,6.58,6.25,3.6999999999999997,0.66,0.62,27.63,16.88,0.0,3.75,0.0
