Eleccion,,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2015,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,DN_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017,paso_2017
,,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_cnt,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct,VOTOS_pct
Denominacion,,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE PARA LA VICTORIA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),CAMBIEMOS,ELECTORES,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS,1PAIS,CAMBIEMOS,ELECTORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,VOTANTES,VOTOS BLANCOS
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adolfo alsina,2,128.0,2688.0,1156.0,4957.0,13189.0,10543.0,1291.0,0.012140756900313004,0.25495589490657306,0.10964621075595182,0.4701697808972778,1.250972209048658,1.0,0.12245091529925069,1135.0,6049.0,14314.0,225.0,616.0,2279.0,11047.0,661.0,0.10274282610663528,0.5475694758758034,1.295736399022359,0.020367520593826377,0.05576174527020911,0.20630035303702363,1.0,0.05983524938897438,1208.0,5164.0,13985.0,123.0,719.0,2111.0,10253.0,756.0,0.11781917487564615,0.5036574661074807,1.363991027016483,0.011996488832536819,0.07012581683409734,0.2058909587437823,1.0,0.07373451672681167
adolfo gonzales chaves,2,138.0,3347.0,1035.0,2279.0,10420.0,8846.0,1694.0,0.015600271309066245,0.37836310196699074,0.11700203481799683,0.25763056748813024,1.17793352927877,1.0,0.1914989825910016,856.0,3201.0,10473.0,207.0,237.0,2512.0,8109.0,1245.0,0.1055617215439635,0.3947465778764336,1.291527931927488,0.025527192008879023,0.029226785053644098,0.3097792576149957,1.0,0.15353311135775063,1136.0,2427.0,10473.0,112.0,210.0,2084.0,7164.0,1448.0,0.15857063093243998,0.3387772194304858,1.461892797319933,0.015633724176437745,0.02931323283082077,0.2908989391401452,1.0,0.20212171970965942
alberti,2,99.0,2701.0,732.0,3009.0,8859.0,7308.0,916.0,0.013546798029556651,0.36959496442255063,0.10016420361247948,0.41174055829228245,1.2122331691297208,1.0,0.12534209085933223,374.0,3491.0,8937.0,122.0,2033.0,925.0,7199.0,458.0,0.05195165995277122,0.48492846228642866,1.241422419780525,0.016946798166412,0.28240033337963605,0.12849006806500904,1.0,0.06361994721489096,586.0,3032.0,9300.0,75.0,1858.0,968.0,7413.0,544.0,0.07905031701065696,0.40901119654660734,1.2545528126264671,0.010117361392148928,0.2506407662215028,0.13058141103466883,1.0,0.07338459463105355
almirante brown,2,16612.0,131299.0,64659.0,82618.0,419609.0,320424.0,24019.0,0.05184380695578358,0.40976643447432154,0.20179200059920605,0.2578396125134197,1.3095429805507701,1.0,0.07496005292986793,34571.0,107880.0,443099.0,20320.0,19297.0,144792.0,336973.0,9262.0,0.10259278933327003,0.32014434390885915,1.3149391791033702,0.060301567187875584,0.05726571565080882,0.42968427737533865,1.0,0.027485881658174394,47377.0,81987.0,429241.0,13582.0,19275.0,123858.0,307240.0,13644.0,0.1542019268324437,0.2668500195287072,1.397086967842729,0.044206483530790264,0.06273597187866163,0.4031311027209999,1.0,0.044408280171852624
avellaneda,2,11284.0,81333.0,38981.0,70034.0,289664.0,219028.0,11228.0,0.0515185273115766,0.3713360848841244,0.1779726792921453,0.31974907317785856,1.3224975802180543,1.0,0.05126285223807002,21089.0,86959.0,300157.0,13006.0,8367.0,90167.0,227494.0,4367.0,0.09270134596956403,0.38224744388863,1.3194062260982706,0.05717073856892929,0.036778991973414686,0.39634891469665134,1.0,0.019196110666654945,30090.0,69837.0,293788.0,8593.0,8667.0,79350.0,212800.0,6283.0,0.14140037593984964,0.3281813909774436,1.3805827067669172,0.040380639097744364,0.040728383458646614,0.3728853383458647,1.0,0.029525375939849625
ayacucho,2,322.0,3688.0,1114.0,5291.0,15595.0,13087.0,2263.0,0.02460456942003515,0.2818063727363032,0.0851226407885688,0.40429433789256514,1.1916405593336898,1.0,0.17291969129670665,1369.0,6720.0,17404.0,671.0,890.0,2919.0,13502.0,1059.0,0.1013923863131388,0.49770404384535627,1.2889942230780624,0.04969634128277292,0.06591616056880462,0.2161901940453266,1.0,0.07843282476670123,1631.0,4944.0,17082.0,450.0,923.0,2829.0,11843.0,1017.0,0.13771848349235835,0.4174617917757325,1.442371020856202,0.03799712910580089,0.07793633369923161,0.2388752849784683,1.0,0.08587351177911003
azul,2,1077.0,11517.0,5549.0,12322.0,53978.0,39895.0,5301.0,0.026995864143376364,0.2886827923298659,0.13909011154279985,0.30886075949367087,1.3530016292768516,1.0,0.13287379370848476,4663.0,21317.0,56554.0,1559.0,1589.0,11006.0,42299.0,2445.0,0.11023901274261803,0.5039599044894678,1.3370056029693373,0.03685666327809168,0.03756589990307099,0.26019527648407764,1.0,0.05780278493581409,6228.0,17713.0,56463.0,960.0,1564.0,9638.0,40652.0,2870.0,0.15320279445045754,0.43572271966938897,1.3889353537341336,0.023615074289087868,0.03847289186263898,0.23708550624815508,1.0,0.07059923251008561
