,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
la matanza,2,992574,1027286,1079920,753611,740641,809256,168096,178341,232903,339921,327656,379402,144432,94065,72338,50092,28293,18335,39023,38934,28427,43457,33320
la plata,2,531539,533701,567623,411253,376629,418791,156540,158275,201129,112023,94062,113650,63605,46935,36062,24201,13876,13229,24851,22986,18877,27649,26296
general pueyrredon,2,540300,543725,562957,389220,356403,397503,151658,155647,194439,115689,88723,110614,64472,46778,38655,32033,22053,13602,17467,17261,12627,22210,14994
lomas de zamora,2,497657,477796,522876,373761,337567,387401,100986,104982,133766,154128,131706,161432,63929,46137,34773,23811,19330,9711,16222,17894,14370,21987,18100
quilmes,2,445232,457884,475649,337449,321139,353556,109206,108869,139352,125031,116597,138845,60153,43133,31492,24371,14121,8999,18927,16521,13383,20186,15413
almirante brown,2,419609,429241,443099,320424,307240,336973,82618,81987,107880,131299,123858,144792,64659,47377,34571,24019,13644,9262,19275,19297,13582,20320,16612
merlo,2,373940,399423,414137,292175,289128,309999,56611,63250,85631,131054,129797,146427,64084,44144,33659,23202,12723,8739,14719,15798,11243,17732,11912
lanus,2,378409,389660,396943,283133,280635,299681,95261,98960,121382,101449,94489,111614,56722,39917,30141,13982,10081,6040,15686,12771,11347,17765,14473
moreno,2,318677,334320,351048,247545,234735,264254,48413,54951,77028,105690,94837,113948,57885,37122,30647,22913,14384,10866,18290,16270,8254,14060,9604
general san martin,2,330387,335636,349945,249394,235281,255181,78633,79365,102246,80300,70612,86221,54630,40152,29776,16329,8668,5870,17725,16577,9765,14890,12217
tigre,2,288933,305405,307612,236141,227939,238844,55981,66638,83146,60497,58062,66100,81421,64382,53405,14880,9581,7608,7859,8082,9077,12848,11145
florencio varela,2,284202,298047,319626,216559,213411,238285,40390,49006,66123,100649,99083,111858,46099,26116,21459,21333,12394,11719,11695,13706,7014,11752,8814
avellaneda,2,289664,293788,300157,219028,212800,227494,70034,69837,86959,81333,79350,90167,38981,30090,21089,11228,6283,4367,8667,8367,8593,13006,11284
tres de febrero,2,289269,285401,298043,218966,205736,221528,76364,77053,97429,68642,59133,69723,46866,32082,23803,10456,6077,4633,13421,11277,9118,13311,10773
san isidro,2,278076,282522,285650,214710,202918,216460,109775,111149,127647,40656,37078,42594,32708,25250,18269,9794,6944,5361,7511,6996,7402,11084,8788
moron,2,273068,273295,279565,212691,202221,214321,77995,81718,98770,62748,57450,65025,39653,29792,21994,10027,4502,3336,10678,9495,9020,14047,10363
malvinas argentinas,2,243702,242249,262533,200427,180893,209300,33423,47594,62560,77464,74067,92203,60527,29538,23759,17711,9180,8001,7505,7696,8246,12220,8388
berazategui,2,245757,239746,260484,189544,179362,198818,47511,48387,66729,78298,73164,85368,39715,27875,21569,17338,9754,8515,7985,8932,7488,11806,9831
bahia blanca,2,235463,244495,252071,178187,176205,187940,74454,81363,98613,39360,35291,38286,27784,20886,16326,17946,8549,6889,13892,15468,8247,11466,10233
vicente lopez,2,241980,238554,245649,185206,174551,185282,92393,94462,109414,34242,30523,34711,26746,20623,15778,5876,3855,2361,6657,6392,7381,12385,9487
san miguel,2,220234,232395,235303,177514,172190,181445,48304,65253,77732,58776,58040,61939,39650,20524,15809,15191,7945,5812,6598,7362,6514,9869,7722
pilar,2,216510,228724,241085,174708,162354,182295,58961,54630,74560,60469,56353,62384,28028,22668,17933,15515,8719,7242,8668,7602,4753,7706,5715
esteban echeverria,2,221245,231178,235260,170049,161893,174406,46865,47251,60321,65474,61677,70833,31894,23825,16724,12685,8780,5989,8503,7938,6478,9980,7560
jose c. paz,2,203933,208842,219306,159065,148274,164780,29872,33207,45264,72456,66119,79148,34102,21421,15861,15594,8966,6439,6699,7254,5825,8569,6620
comuna 13,1,217133,218130,218843,165160,128676,153534,96096,98649,102109,24641,23323,23677,16200,0,0,2586,1659,1357,0,0,4931,8082,7368
comuna 14,1,209538,211583,210920,156702,125305,141510,91067,93045,95921,24978,23150,23459,14617,0,0,2581,1512,1133,0,0,4463,7342,6860
comuna 12,1,186939,186785,188519,148347,116958,133482,69919,72240,76312,30548,28375,29849,20360,0,0,3114,1597,1112,0,0,5414,8358,8375
escobar,2,162933,168720,178618,128089,121323,134034,37769,37945,49839,44158,40171,50585,26231,20641,15331,11424,6555,7324,5353,5333,4447,6318,5692
comuna 11,1,172852,172312,173370,132378,109070,122578,61448,65663,68102,28436,26434,27771,21023,0,0,2910,1414,1039,0,0,4752,7396,7430
comuna 04,1,176724,176856,178221,129232,100903,115933,51936,54279,57326,40348,33627,37984,21846,0,0,4124,1732,1184,0,0,5654,8526,8005
comuna 07,1,171726,174093,174465,130480,108419,124042,53883,59512,62149,31901,29028,31338,22077,0,0,3076,1575,1160,0,0,5230,8020,7624
comuna 01,1,177581,176831,177541,118485,93537,110014,58361,60268,63816,30616,25944,27984,16130,0,0,3192,1358,1033,0,0,4366,6905,6739
comuna 06,1,161249,161704,161368,128388,106001,120771,57358,62162,63580,25533,24729,24977,17006,0,0,2320,1339,931,0,0,4910,7672,7452
