,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
adolfo alsina,2,125.1,136.4,129.57,100.0,100.0,100.0,47.02,50.370000000000005,54.76,25.5,20.59,20.630000000000003,10.96,11.78,10.27,12.25,7.37,5.9799999999999995,7.01,5.58,1.2,2.04,1.21
adolfo gonzales chaves,2,117.78999999999999,146.19,129.15,100.0,100.0,100.0,25.759999999999998,33.879999999999995,39.47,37.84,29.09,30.98,11.700000000000001,15.86,10.56,19.15,20.21,15.35,2.93,2.92,1.5599999999999998,2.55,1.5599999999999998
alberti,2,121.22,125.46,124.14,100.0,100.0,100.0,41.17,40.9,48.49,36.96,13.059999999999999,12.85,10.02,7.91,5.2,12.53,7.340000000000001,6.36,25.06,28.24,1.01,1.69,1.35
almirante brown,2,130.95000000000002,139.71,131.49,100.0,100.0,100.0,25.779999999999998,26.69,32.01,40.98,40.31,42.970000000000006,20.18,15.42,10.26,7.5,4.44,2.75,6.2700000000000005,5.7299999999999995,4.42,6.03,5.18
avellaneda,2,132.25,138.06,131.94,100.0,100.0,100.0,31.97,32.82,38.22,37.13,37.29,39.629999999999995,17.8,14.14,9.27,5.13,2.9499999999999997,1.92,4.07,3.6799999999999997,4.04,5.72,5.1499999999999995
ayacucho,2,119.16,144.23999999999998,128.9,100.0,100.0,100.0,40.43,41.75,49.769999999999996,28.18,23.89,21.62,8.51,13.77,10.14,17.29,8.59,7.84,7.79,6.59,3.8,4.97,2.46
azul,2,135.3,138.89000000000001,133.7,100.0,100.0,100.0,30.89,43.57,50.4,28.87,23.71,26.02,13.91,15.32,11.020000000000001,13.29,7.06,5.779999999999999,3.85,3.7600000000000002,2.36,3.6900000000000004,2.7
bahia blanca,2,132.14,138.76,134.12,100.0,100.0,100.0,41.78,46.18,52.470000000000006,22.09,20.03,20.369999999999997,15.590000000000002,11.85,8.690000000000001,10.07,4.8500000000000005,3.6700000000000004,7.88,8.23,4.68,6.1,5.74
balcarce,2,127.89999999999999,141.03,128.75,100.0,100.0,100.0,46.31,48.85,55.52,24.610000000000003,20.31,18.490000000000002,17.03,13.139999999999999,9.120000000000001,12.01,7.95,5.26,9.58,9.43,1.43,2.39,2.04
baradero,2,134.44,135.99,128.82,100.0,100.0,100.0,35.74,35.199999999999996,43.72,38.36,27.200000000000003,26.919999999999998,19.66,16.89,12.659999999999998,12.120000000000001,9.34,9.24,5.65,5.0,3.46,3.42,3.42
bartolome mitre,2,123.25999999999999,128.77,127.38000000000001,100.0,100.0,100.0,40.32,42.49,50.07,32.910000000000004,23.93,26.590000000000003,15.5,13.459999999999999,10.72,10.25,6.02,5.91,8.07,6.7299999999999995,1.06,2.22,1.71
benito juarez,2,124.49,153.07,130.49,100.0,100.0,100.0,31.790000000000003,37.87,43.919999999999995,35.99,37.09,32.28,15.58,12.43,7.99,12.36,14.96,12.26,1.9,1.87,2.1399999999999997,2.98,2.48
berazategui,2,129.66,133.67,131.02,100.0,100.0,100.0,25.069999999999997,26.979999999999997,33.56,41.31,40.79,42.94,20.95,15.540000000000001,10.85,9.15,5.4399999999999995,4.279999999999999,4.45,4.49,4.17,5.94,5.19
berisso,2,126.84,137.87,130.75,100.0,100.0,100.0,30.520000000000003,32.46,41.349999999999994,32.35,32.15,34.54,20.48,16.0,10.11,9.75,4.83,3.64,7.16,5.79,4.67,6.140000000000001,5.4
bolivar,2,122.36,142.74,125.2,100.0,100.0,100.0,38.59,43.46,44.5,33.36,14.610000000000001,10.95,12.44,7.9,4.8500000000000005,11.450000000000001,6.25,5.71,23.810000000000002,30.06,0.91,1.92,1.87
bragado,2,122.28000000000002,132.92,129.37,100.0,100.0,100.0,43.51,42.61,49.64,34.96,30.380000000000003,31.430000000000003,10.07,11.020000000000001,6.98,8.98,4.88,3.5900000000000003,7.969999999999999,6.61,1.59,2.74,1.87
brandsen,2,122.57000000000001,129.92999999999998,129.78,100.0,100.0,100.0,38.73,36.77,47.02,33.19,30.64,34.39,11.68,11.83,9.950000000000001,13.01,11.83,4.74,2.8400000000000003,2.8899999999999997,2.1999999999999997,3.34,3.1199999999999997
campana,2,127.25,131.99,127.03,100.0,100.0,100.0,38.76,37.29,44.45,31.46,28.07,29.270000000000003,17.44,13.889999999999999,10.17,10.209999999999999,7.779999999999999,7.000000000000001,4.5,4.01,3.92,5.04,4.04
canuelas,2,125.22999999999999,140.5,129.16,100.0,100.0,100.0,30.159999999999997,36.57,42.05,38.519999999999996,37.45,38.34,19.73,13.61,9.15,6.7299999999999995,4.24,2.9499999999999997,4.55,4.36,4.07,4.43,3.81
capitan sarmiento,2,127.49,137.22,124.47999999999999,100.0,100.0,100.0,35.96,43.07,51.7,28.4,21.82,20.919999999999998,17.27,15.9,13.05,16.17,6.41,8.73,3.7800000000000002,3.29,1.37,1.8599999999999999,1.67
carlos casares,2,126.84,141.70000000000002,130.64,100.0,100.0,100.0,40.71,46.87,52.93,33.129999999999995,15.42,16.82,11.88,12.2,8.07,12.790000000000001,9.22,6.83,16.1,15.97,2.07,2.6,2.44
