CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
14;001;0001 ;0001; ;9001;349
14;001;0001 ;0001; ;9002;229
14;001;0001 ;0001; ;9003;000
14;001;0001 ;0001; ;9004;003
14;001;0001 ;0001; ;9005;002
14;001;0001 ;0001; ;9006;000
14;001;0001 ;0001; ;3020;003
14;001;0001 ;0001; ;3041;002
14;001;0001 ;0001; ;3042;003
14;001;0001 ;0001; ;3048;002
14;001;0001 ;0001; ;3060;012
14;001;0001 ;0001; ;3083;012
14;001;0001 ;0001; ;3204;132
14;001;0001 ;0001; ;3275;043
14;001;0001 ;0001; ;3203;003
14;001;0001 ;0002; ;9001;350
14;001;0001 ;0002; ;9002;238
14;001;0001 ;0002; ;9003;000
14;001;0001 ;0002; ;9004;006
14;001;0001 ;0002; ;9005;002
14;001;0001 ;0002; ;9006;000
14;001;0001 ;0002; ;3020;004
14;001;0001 ;0002; ;3041;007
14;001;0001 ;0002; ;3042;004
14;001;0001 ;0002; ;3048;003
14;001;0001 ;0002; ;3060;012
14;001;0001 ;0002; ;3083;012
14;001;0001 ;0002; ;3204;146
14;001;0001 ;0002; ;3275;034
14;001;0001 ;0002; ;3203;008
14;001;0001 ;0003; ;9001;351
14;001;0001 ;0003; ;9002;229
14;001;0001 ;0003; ;9003;000
14;001;0001 ;0003; ;9004;004
14;001;0001 ;0003; ;9005;003
14;001;0001 ;0003; ;9006;001
14;001;0001 ;0003; ;3020;009
14;001;0001 ;0003; ;3041;014
14;001;0001 ;0003; ;3042;003
14;001;0001 ;0003; ;3048;005
14;001;0001 ;0003; ;3060;015
14;001;0001 ;0003; ;3083;014
14;001;0001 ;0003; ;3204;109
14;001;0001 ;0003; ;3275;043
14;001;0001 ;0003; ;3203;009
14;001;0001 ;0004; ;9001;350
14;001;0001 ;0004; ;9002;225
14;001;0001 ;0004; ;9003;000
14;001;0001 ;0004; ;9004;004
14;001;0001 ;0004; ;9005;003
14;001;0001 ;0004; ;9006;000
14;001;0001 ;0004; ;3020;004
14;001;0001 ;0004; ;3041;005
14;001;0001 ;0004; ;3042;007
14;001;0001 ;0004; ;3048;002
14;001;0001 ;0004; ;3060;016
14;001;0001 ;0004; ;3083;006
14;001;0001 ;0004; ;3204;126
14;001;0001 ;0004; ;3275;043
14;001;0001 ;0004; ;3203;009
14;001;0001 ;0005; ;9001;350
14;001;0001 ;0005; ;9002;219
14;001;0001 ;0005; ;9003;000
14;001;0001 ;0005; ;9004;010
14;001;0001 ;0005; ;9005;003
14;001;0001 ;0005; ;9006;002
14;001;0001 ;0005; ;3020;004
14;001;0001 ;0005; ;3041;007
14;001;0001 ;0005; ;3042;001
14;001;0001 ;0005; ;3048;002
14;001;0001 ;0005; ;3060;012
14;001;0001 ;0005; ;3083;012
14;001;0001 ;0005; ;3204;122
14;001;0001 ;0005; ;3275;035
14;001;0001 ;0005; ;3203;009
14;001;0001 ;0006; ;9001;350
14;001;0001 ;0006; ;9002;243
14;001;0001 ;0006; ;9003;000
14;001;0001 ;0006; ;9004;003
14;001;0001 ;0006; ;9005;002
14;001;0001 ;0006; ;9006;001
14;001;0001 ;0006; ;3020;005
14;001;0001 ;0006; ;3041;005
14;001;0001 ;0006; ;3042;000
14;001;0001 ;0006; ;3048;002
14;001;0001 ;0006; ;3060;021
14;001;0001 ;0006; ;3083;015
14;001;0001 ;0006; ;3204;151
14;001;0001 ;0006; ;3275;032
14;001;0001 ;0006; ;3203;006
14;001;0001 ;0007; ;9001;351
14;001;0001 ;0007; ;9002;214
14;001;0001 ;0007; ;9003;000
14;001;0001 ;0007; ;9004;002
14;001;0001 ;0007; ;9005;004
14;001;0001 ;0007; ;9006;000
14;001;0001 ;0007; ;3020;004
14;001;0001 ;0007; ;3041;005
14;001;0001 ;0007; ;3042;003
14;001;0001 ;0007; ;3048;000
14;001;0001 ;0007; ;3060;018
14;001;0001 ;0007; ;3083;009
14;001;0001 ;0007; ;3204;123
14;001;0001 ;0007; ;3275;038
14;001;0001 ;0007; ;3203;008
14;001;0001 ;0008; ;9001;354
14;001;0001 ;0008; ;9002;224
14;001;0001 ;0008; ;9003;000
14;001;0001 ;0008; ;9004;003
14;001;0001 ;0008; ;9005;002
14;001;0001 ;0008; ;9006;000
14;001;0001 ;0008; ;3020;003
14;001;0001 ;0008; ;3041;010
14;001;0001 ;0008; ;3042;004
14;001;0001 ;0008; ;3048;001
14;001;0001 ;0008; ;3060;015
14;001;0001 ;0008; ;3083;008
14;001;0001 ;0008; ;3204;145
14;001;0001 ;0008; ;3275;028
14;001;0001 ;0008; ;3203;006
14;001;0001 ;0009; ;9001;350
14;001;0001 ;0009; ;9002;233
14;001;0001 ;0009; ;9003;000
14;001;0001 ;0009; ;9004;006
14;001;0001 ;0009; ;9005;003
14;001;0001 ;0009; ;9006;000
14;001;0001 ;0009; ;3020;004
14;001;0001 ;0009; ;3041;008
14;001;0001 ;0009; ;3042;002
14;001;0001 ;0009; ;3048;002
14;001;0001 ;0009; ;3060;018
14;001;0001 ;0009; ;3083;011
14;001;0001 ;0009; ;3204;128
14;001;0001 ;0009; ;3275;043
14;001;0001 ;0009; ;3203;008
14;001;0001 ;0010; ;9001;351
14;001;0001 ;0010; ;9002;227
14;001;0001 ;0010; ;9003;000
14;001;0001 ;0010; ;9004;008
14;001;0001 ;0010; ;9005;006
14;001;0001 ;0010; ;9006;000
14;001;0001 ;0010; ;3020;009
14;001;0001 ;0010; ;3041;007
14;001;0001 ;0010; ;3042;004
14;001;0001 ;0010; ;3048;004
14;001;0001 ;0010; ;3060;012
14;001;0001 ;0010; ;3083;007
14;001;0001 ;0010; ;3204;129
14;001;0001 ;0010; ;3275;035
14;001;0001 ;0010; ;3203;006
14;001;0001 ;0011; ;9001;351
14;001;0001 ;0011; ;9002;247
14;001;0001 ;0011; ;9003;000
14;001;0001 ;0011; ;9004;004
14;001;0001 ;0011; ;9005;001
14;001;0001 ;0011; ;9006;000
14;001;0001 ;0011; ;3020;007
