dpto_merge,seccion,label
campana,1,Resto 1a Seccion
escobar,1,Resto 1a Seccion
general la madrid,1,Resto 1a Seccion
general rodriguez,1,Resto 1a Seccion
general san martin,1,Resto 1a Seccion
hurlingham,1,Resto 1a Seccion
ituzaingo,1,Resto 1a Seccion
jose c. paz,1,Resto 1a Seccion
lujan,1,Resto 1a Seccion
malvinas argentinas,1,Resto 1a Seccion
marcos paz,1,Resto 1a Seccion
mercedes,1,Resto 1a Seccion
merlo,1,Resto 1a Seccion
moreno,1,Resto 1a Seccion
moron,1,Resto 1a Seccion
navarro,1,Resto 1a Seccion
pilar,1,Resto 1a Seccion
san fernando,1,Resto 1a Seccion
san isidro,1,Resto 1a Seccion
san miguel,1,Resto 1a Seccion
suipacha,1,Resto 1a Seccion
tigre,1,Resto 1a Seccion
tres de febrero,1,Resto 1a Seccion
vicente lopez,1,Resto 1a Seccion
avellaneda,2,Resto 2a Seccion
bartolome mitre,2,Resto 2a Seccion
capitan sarmiento,2,Resto 2a Seccion
carmen de areco,2,Resto 2a Seccion
colon,2,Resto 2a Seccion
exaltacion de la cruz,2,Resto 2a Seccion
pergamino,2,Resto 2a Seccion
ramallo,2,Resto 2a Seccion
rojas,2,Resto 2a Seccion
salto,2,Resto 2a Seccion
san andres de giles,2,Resto 2a Seccion
san antonio de areco,2,Resto 2a Seccion
san nicolas,2,Resto 2a Seccion
san pedro,2,Resto 2a Seccion
zarate,2,Resto 2a Seccion
almirante brown,3,Resto 3a Seccion
ayacucho,3,Resto 3a Seccion
berazategui,3,Resto 3a Seccion
berisso,3,Resto 3a Seccion
brandsen,3,Resto 3a Seccion
canuelas,3,Resto 3a Seccion
ensenada,3,Resto 3a Seccion
esteban echeverria,3,Resto 3a Seccion
ezeiza,3,Resto 3a Seccion
florencio varela,3,Resto 3a Seccion
la matanza,3,Resto 3a Seccion
lanus,3,Resto 3a Seccion
lobos,3,Resto 3a Seccion
lomas de zamora,3,Resto 3a Seccion
magdalena,3,Resto 3a Seccion
presidente peron,3,Resto 3a Seccion
punta indio,3,Resto 3a Seccion
quilmes,3,Resto 3a Seccion
san vicente,3,Resto 3a Seccion
alberti,4,Resto 4a Seccion
bragado,4,Resto 4a Seccion
carlos casares,4,Resto 4a Seccion
carlos tejedor,4,Resto 4a Seccion
chacabuco,4,Resto 4a Seccion
chivilcoy,4,Resto 4a Seccion
florentino ameghino,4,Resto 4a Seccion
general arenales,4,Resto 4a Seccion
general pinto,4,Resto 4a Seccion
general viamonte,4,Resto 4a Seccion
general villegas,4,Resto 4a Seccion
hipolito yrigoyen,4,Resto 4a Seccion
junin,4,Resto 4a Seccion
leandro n. alem,4,Resto 4a Seccion
loberia,5,Resto 5a Seccion
nueve de julio,4,Resto 4a Seccion
pehuajo,4,Resto 4a Seccion
rivadavia,4,Resto 4a Seccion
trenque lauquen,4,Resto 4a Seccion
azul,5,Resto 5a Seccion
baradero,5,Resto 5a Seccion
castelli,5,Resto 5a Seccion
chascomus,5,Resto 5a Seccion
dolores,5,Resto 5a Seccion
general alvarado,5,Resto 5a Seccion
general belgrano,5,Resto 5a Seccion
general guido,5,Resto 5a Seccion
general las heras,1,Resto 1a Seccion
general lavalle,5,Resto 5a Seccion
general paz,5,Resto 5a Seccion
general pueyrredon,5,Resto 5a Seccion
la costa,5,Resto 5a Seccion
las flores,5,Resto 5a Seccion
lincoln,5,Resto 5a Seccion
maipu,5,Resto 5a Seccion
mar chiquita,5,Resto 5a Seccion
monte,5,Resto 5a Seccion
necochea,5,Resto 5a Seccion
pila,5,Resto 5a Seccion
pinamar,5,Resto 5a Seccion
rauch,5,Resto 5a Seccion
san cayetano,5,Resto 5a Seccion
tandil,5,Resto 5a Seccion
tordillo,5,Resto 5a Seccion
villa gesell,5,Resto 5a Seccion
adolfo alsina,6,Resto 6a Seccion
adolfo gonzales chaves,6,Resto 6a Seccion
balcarce,6,Resto 6a Seccion
benito juarez,6,Resto 6a Seccion
coronel de marina l. rosales,6,Resto 6a Seccion
coronel dorrego,6,Resto 6a Seccion
coronel pringles,6,Resto 6a Seccion
coronel suarez,6,Resto 6a Seccion
daireaux,6,Resto 6a Seccion
general juan madariaga,5,Resto 5a Seccion
guamini,6,Resto 6a Seccion
laprida,6,Resto 6a Seccion
monte hermoso,6,Resto 6a Seccion
patagones,6,Resto 6a Seccion
pellegrini,6,Resto 6a Seccion
puan,6,Resto 6a Seccion
saavedra,6,Resto 6a Seccion
salliquelo,6,Resto 6a Seccion
tornquist,6,Resto 6a Seccion
tres arroyos,6,Resto 6a Seccion
tres lomas,6,Resto 6a Seccion
villarino,6,Resto 6a Seccion
bahia blanca,7,Resto 7a Seccion
bolivar,7,Resto 7a Seccion
general alvear,7,Resto 7a Seccion
olavarria,7,Resto 7a Seccion
roque perez,7,Resto 7a Seccion
saladillo,7,Resto 7a Seccion
tapalque,7,Resto 7a Seccion
veinticinco de mayo,7,Resto 7a Seccion
la plata,8,Resto 8a Seccion
